id,name,id_num
T3_2H_BOW,Journeyman's Bow,6056
T3_2H_CROSSBOW,Journeyman's Crossbow,6232
T3_2H_KNUCKLES_SET1,Journeyman's Brawler Gloves,8944
T3_2H_QUARTERSTAFF,Journeyman's Quarterstaff,8366
T3_2H_SHAPESHIFTER_SET1,Journeyman's Prowling Staff,9120
T3_2H_TOOL_AXE,Journeyman's Axe,2733
T3_2H_TOOL_FISHINGROD,Journeyman's Fishing Rod,2782
T3_2H_TOOL_HAMMER,Journeyman's Stone Hammer,2720
T3_2H_TOOL_KNIFE,Journeyman's Skinning Knife,2759
T3_2H_TOOL_PICK,Journeyman's Pickaxe,2707
T3_2H_TOOL_SICKLE,Journeyman's Sickle,2746
T3_2H_TOOL_SIEGEHAMMER,Journeyman's Siege Hammer,2771
T3_ARMOR_CLOTH_SET1,Journeyman's Scholar Robe,4442
T3_ARMOR_LEATHER_SET1,Journeyman's Mercenary Jacket,3835
T3_ARMOR_PLATE_SET1,Journeyman's Soldier Armor,3227
T3_BAG,Journeyman's Bag,2654
T3_CAPE,Journeyman's Cape,2300
T3_HEAD_CLOTH_SET1,Journeyman's Scholar Cowl,4415
T3_HEAD_LEATHER_SET1,Journeyman's Mercenary Hood,3807
T3_HEAD_PLATE_SET1,Journeyman's Soldier Helmet,3200
T3_MAIN_ARCANESTAFF,Journeyman's Arcane Staff,6962
T3_MAIN_AXE,Journeyman's Battleaxe,7962
T3_MAIN_CURSEDSTAFF,Journeyman's Cursed Staff,6408
T3_MAIN_DAGGER,Journeyman's Dagger,7540
T3_MAIN_FIRESTAFF,Journeyman's Fire Staff,6585
T3_MAIN_FROSTSTAFF,Journeyman's Frost Staff,6761
T3_MAIN_HAMMER,Journeyman's Hammer,8567
T3_MAIN_HOLYSTAFF,Journeyman's Holy Staff,7163
T3_MAIN_MACE,Journeyman's Mace,8743
T3_MAIN_NATURESTAFF,Journeyman's Nature Staff,7364
T3_MAIN_SPEAR,Journeyman's Spear,7761
T3_MAIN_SWORD,Journeyman's Broadsword,8165
T3_OFF_BOOK,Journeyman's Tome of Spells,2047
T3_OFF_SHIELD,Journeyman's Shield,1920
T3_OFF_TORCH,Journeyman's Torch,2173
T3_SHOES_CLOTH_SET1,Journeyman's Scholar Sandals,4469
T3_SHOES_LEATHER_SET1,Journeyman's Mercenary Shoes,3863
T3_SHOES_PLATE_SET1,Journeyman's Soldier Boots,3254
T4_2H_ARCANESTAFF,Adept's Great Arcane Staff,6988
T4_2H_ARCANESTAFF@1,Adept's Great Arcane Staff,6989
T4_2H_ARCANESTAFF@2,Adept's Great Arcane Staff,6990
T4_2H_ARCANESTAFF@3,Adept's Great Arcane Staff,6991
T4_2H_ARCANESTAFF@4,Adept's Great Arcane Staff,6992
T4_2H_ARCANESTAFF_CRYSTAL,Adept's Astral Staff,7138
T4_2H_ARCANESTAFF_CRYSTAL@1,Adept's Astral Staff,7139
T4_2H_ARCANESTAFF_CRYSTAL@2,Adept's Astral Staff,7140
T4_2H_ARCANESTAFF_CRYSTAL@3,Adept's Astral Staff,7141
T4_2H_ARCANESTAFF_CRYSTAL@4,Adept's Astral Staff,7142
T4_2H_ARCANESTAFF_HELL,Adept's Occult Staff,7063
T4_2H_ARCANESTAFF_HELL@1,Adept's Occult Staff,7064
T4_2H_ARCANESTAFF_HELL@2,Adept's Occult Staff,7065
T4_2H_ARCANESTAFF_HELL@3,Adept's Occult Staff,7066
T4_2H_ARCANESTAFF_HELL@4,Adept's Occult Staff,7067
T4_2H_ARCANE_RINGPAIR_AVALON,Adept's Evensong,7113
T4_2H_ARCANE_RINGPAIR_AVALON@1,Adept's Evensong,7114
T4_2H_ARCANE_RINGPAIR_AVALON@2,Adept's Evensong,7115
T4_2H_ARCANE_RINGPAIR_AVALON@3,Adept's Evensong,7116
T4_2H_ARCANE_RINGPAIR_AVALON@4,Adept's Evensong,7117
T4_2H_AXE,Adept's Greataxe,7988
T4_2H_AXE@1,Adept's Greataxe,7989
T4_2H_AXE@2,Adept's Greataxe,7990
T4_2H_AXE@3,Adept's Greataxe,7991
T4_2H_AXE@4,Adept's Greataxe,7992
T4_2H_AXE_AVALON,Adept's Realmbreaker,8113
T4_2H_AXE_AVALON@1,Adept's Realmbreaker,8114
T4_2H_AXE_AVALON@2,Adept's Realmbreaker,8115
T4_2H_AXE_AVALON@3,Adept's Realmbreaker,8116
T4_2H_AXE_AVALON@4,Adept's Realmbreaker,8117
T4_2H_BOW,Adept's Bow,6057
T4_2H_BOW@1,Adept's Bow,6058
T4_2H_BOW@2,Adept's Bow,6059
T4_2H_BOW@3,Adept's Bow,6060
T4_2H_BOW@4,Adept's Bow,6061
T4_2H_BOW_AVALON,Adept's Mistpiercer,6207
T4_2H_BOW_AVALON@1,Adept's Mistpiercer,6208
T4_2H_BOW_AVALON@2,Adept's Mistpiercer,6209
T4_2H_BOW_AVALON@3,Adept's Mistpiercer,6210
T4_2H_BOW_AVALON@4,Adept's Mistpiercer,6211
T4_2H_BOW_HELL,Adept's Wailing Bow,6157
T4_2H_BOW_HELL@1,Adept's Wailing Bow,6158
T4_2H_BOW_HELL@2,Adept's Wailing Bow,6159
T4_2H_BOW_HELL@3,Adept's Wailing Bow,6160
T4_2H_BOW_HELL@4,Adept's Wailing Bow,6161
T4_2H_BOW_KEEPER,Adept's Bow of Badon,6182
T4_2H_BOW_KEEPER@1,Adept's Bow of Badon,6183
T4_2H_BOW_KEEPER@2,Adept's Bow of Badon,6184
T4_2H_BOW_KEEPER@3,Adept's Bow of Badon,6185
T4_2H_BOW_KEEPER@4,Adept's Bow of Badon,6186
T4_2H_CLAWPAIR,Adept's Claws,7591
T4_2H_CLAWPAIR@1,Adept's Claws,7592
T4_2H_CLAWPAIR@2,Adept's Claws,7593
T4_2H_CLAWPAIR@3,Adept's Claws,7594
T4_2H_CLAWPAIR@4,Adept's Claws,7595
T4_2H_CLAYMORE,Adept's Claymore,8191
T4_2H_CLAYMORE@1,Adept's Claymore,8192
T4_2H_CLAYMORE@2,Adept's Claymore,8193
T4_2H_CLAYMORE@3,Adept's Claymore,8194
T4_2H_CLAYMORE@4,Adept's Claymore,8195
T4_2H_CLAYMORE_AVALON,Adept's Kingmaker,8316
T4_2H_CLAYMORE_AVALON@1,Adept's Kingmaker,8317
T4_2H_CLAYMORE_AVALON@2,Adept's Kingmaker,8318
T4_2H_CLAYMORE_AVALON@3,Adept's Kingmaker,8319
T4_2H_CLAYMORE_AVALON@4,Adept's Kingmaker,8320
T4_2H_CLEAVER_HELL,Adept's Carving Sword,8266
T4_2H_CLEAVER_HELL@1,Adept's Carving Sword,8267
T4_2H_CLEAVER_HELL@2,Adept's Carving Sword,8268
T4_2H_CLEAVER_HELL@3,Adept's Carving Sword,8269
T4_2H_CLEAVER_HELL@4,Adept's Carving Sword,8270
T4_2H_COMBATSTAFF_MORGANA,Adept's Black Monk Stave,8442
T4_2H_COMBATSTAFF_MORGANA@1,Adept's Black Monk Stave,8443
T4_2H_COMBATSTAFF_MORGANA@2,Adept's Black Monk Stave,8444
T4_2H_COMBATSTAFF_MORGANA@3,Adept's Black Monk Stave,8445
T4_2H_COMBATSTAFF_MORGANA@4,Adept's Black Monk Stave,8446
T4_2H_CROSSBOW,Adept's Crossbow,6233
T4_2H_CROSSBOW@1,Adept's Crossbow,6234
T4_2H_CROSSBOW@2,Adept's Crossbow,6235
T4_2H_CROSSBOW@3,Adept's Crossbow,6236
T4_2H_CROSSBOW@4,Adept's Crossbow,6237
T4_2H_CROSSBOWLARGE,Adept's Heavy Crossbow,6258
T4_2H_CROSSBOWLARGE@1,Adept's Heavy Crossbow,6259
T4_2H_CROSSBOWLARGE@2,Adept's Heavy Crossbow,6260
T4_2H_CROSSBOWLARGE@3,Adept's Heavy Crossbow,6261
T4_2H_CROSSBOWLARGE@4,Adept's Heavy Crossbow,6262
T4_2H_CROSSBOWLARGE_MORGANA,Adept's Siegebow,6358
T4_2H_CROSSBOWLARGE_MORGANA@1,Adept's Siegebow,6359
T4_2H_CROSSBOWLARGE_MORGANA@2,Adept's Siegebow,6360
T4_2H_CROSSBOWLARGE_MORGANA@3,Adept's Siegebow,6361
T4_2H_CROSSBOWLARGE_MORGANA@4,Adept's Siegebow,6362
T4_2H_CROSSBOW_CANNON_AVALON,Adept's Energy Shaper,6383
T4_2H_CROSSBOW_CANNON_AVALON@1,Adept's Energy Shaper,6384
T4_2H_CROSSBOW_CANNON_AVALON@2,Adept's Energy Shaper,6385
T4_2H_CROSSBOW_CANNON_AVALON@3,Adept's Energy Shaper,6386
T4_2H_CROSSBOW_CANNON_AVALON@4,Adept's Energy Shaper,6387
T4_2H_CURSEDSTAFF,Adept's Great Cursed Staff,6434
T4_2H_CURSEDSTAFF@1,Adept's Great Cursed Staff,6435
T4_2H_CURSEDSTAFF@2,Adept's Great Cursed Staff,6436
T4_2H_CURSEDSTAFF@3,Adept's Great Cursed Staff,6437
T4_2H_CURSEDSTAFF@4,Adept's Great Cursed Staff,6438
T4_2H_CURSEDSTAFF_MORGANA,Adept's Damnation Staff,6534
T4_2H_CURSEDSTAFF_MORGANA@1,Adept's Damnation Staff,6535
T4_2H_CURSEDSTAFF_MORGANA@2,Adept's Damnation Staff,6536
T4_2H_CURSEDSTAFF_MORGANA@3,Adept's Damnation Staff,6537
T4_2H_CURSEDSTAFF_MORGANA@4,Adept's Damnation Staff,6538
T4_2H_DAGGERPAIR,Adept's Dagger Pair,7566
T4_2H_DAGGERPAIR@1,Adept's Dagger Pair,7567
T4_2H_DAGGERPAIR@2,Adept's Dagger Pair,7568
T4_2H_DAGGERPAIR@3,Adept's Dagger Pair,7569
T4_2H_DAGGERPAIR@4,Adept's Dagger Pair,7570
T4_2H_DAGGERPAIR_CRYSTAL,Adept's Twin Slayers,7736
T4_2H_DAGGERPAIR_CRYSTAL@1,Adept's Twin Slayers,7737
T4_2H_DAGGERPAIR_CRYSTAL@2,Adept's Twin Slayers,7738
T4_2H_DAGGERPAIR_CRYSTAL@3,Adept's Twin Slayers,7739
T4_2H_DAGGERPAIR_CRYSTAL@4,Adept's Twin Slayers,7740
T4_2H_DAGGER_KATAR_AVALON,Adept's Bridled Fury,7711
T4_2H_DAGGER_KATAR_AVALON@1,Adept's Bridled Fury,7712
T4_2H_DAGGER_KATAR_AVALON@2,Adept's Bridled Fury,7713
T4_2H_DAGGER_KATAR_AVALON@3,Adept's Bridled Fury,7714
T4_2H_DAGGER_KATAR_AVALON@4,Adept's Bridled Fury,7715
T4_2H_DEMONICSTAFF,Adept's Demonic Staff,6459
T4_2H_DEMONICSTAFF@1,Adept's Demonic Staff,6460
T4_2H_DEMONICSTAFF@2,Adept's Demonic Staff,6461
T4_2H_DEMONICSTAFF@3,Adept's Demonic Staff,6462
T4_2H_DEMONICSTAFF@4,Adept's Demonic Staff,6463
T4_2H_DIVINESTAFF,Adept's Divine Staff,7214
T4_2H_DIVINESTAFF@1,Adept's Divine Staff,7215
T4_2H_DIVINESTAFF@2,Adept's Divine Staff,7216
T4_2H_DIVINESTAFF@3,Adept's Divine Staff,7217
T4_2H_DIVINESTAFF@4,Adept's Divine Staff,7218
T4_2H_DOUBLEBLADEDSTAFF,Adept's Double Bladed Staff,8417
T4_2H_DOUBLEBLADEDSTAFF@1,Adept's Double Bladed Staff,8418
T4_2H_DOUBLEBLADEDSTAFF@2,Adept's Double Bladed Staff,8419
T4_2H_DOUBLEBLADEDSTAFF@3,Adept's Double Bladed Staff,8420
T4_2H_DOUBLEBLADEDSTAFF@4,Adept's Double Bladed Staff,8421
T4_2H_DOUBLEBLADEDSTAFF_CRYSTAL,Adept's Phantom Twinblade,8542
T4_2H_DOUBLEBLADEDSTAFF_CRYSTAL@1,Adept's Phantom Twinblade,8543
T4_2H_DOUBLEBLADEDSTAFF_CRYSTAL@2,Adept's Phantom Twinblade,8544
T4_2H_DOUBLEBLADEDSTAFF_CRYSTAL@3,Adept's Phantom Twinblade,8545
T4_2H_DOUBLEBLADEDSTAFF_CRYSTAL@4,Adept's Phantom Twinblade,8546
T4_2H_DUALAXE_KEEPER,Adept's Bear Paws,8088
T4_2H_DUALAXE_KEEPER@1,Adept's Bear Paws,8089
T4_2H_DUALAXE_KEEPER@2,Adept's Bear Paws,8090
T4_2H_DUALAXE_KEEPER@3,Adept's Bear Paws,8091
T4_2H_DUALAXE_KEEPER@4,Adept's Bear Paws,8092
T4_2H_DUALCROSSBOW_HELL,Adept's Boltcasters,6333
T4_2H_DUALCROSSBOW_HELL@1,Adept's Boltcasters,6334
T4_2H_DUALCROSSBOW_HELL@2,Adept's Boltcasters,6335
T4_2H_DUALCROSSBOW_HELL@3,Adept's Boltcasters,6336
T4_2H_DUALCROSSBOW_HELL@4,Adept's Boltcasters,6337
T4_2H_DUALHAMMER_HELL,Adept's Forge Hammers,8668
T4_2H_DUALHAMMER_HELL@1,Adept's Forge Hammers,8669
T4_2H_DUALHAMMER_HELL@2,Adept's Forge Hammers,8670
T4_2H_DUALHAMMER_HELL@3,Adept's Forge Hammers,8671
T4_2H_DUALHAMMER_HELL@4,Adept's Forge Hammers,8672
T4_2H_DUALMACE_AVALON,Adept's Oathkeepers,8894
